Language	Accuracy	Source
loa	1	accuracy = # dataset in seacrowd
lpe	1	accuracy = # dataset in seacrowd
lra	1	accuracy = # dataset in seacrowd
lra	1	accuracy = # dataset in seacrowd
lsi	6	accuracy = # dataset in seacrowd
lti	2	accuracy = # dataset in seacrowd
lur	1	accuracy = # dataset in seacrowd
lus	9	accuracy = # dataset in seacrowd
lvi	1	accuracy = # dataset in seacrowd
lwh	1	accuracy = # dataset in seacrowd
lwl	3	accuracy = # dataset in seacrowd
lzn	1	accuracy = # dataset in seacrowd
mad	24	accuracy = # dataset in seacrowd
mak	14	accuracy = # dataset in seacrowd
max	1	accuracy = # dataset in seacrowd
mba	1	accuracy = # dataset in seacrowd
mbb	5	accuracy = # dataset in seacrowd
mbd	3	accuracy = # dataset in seacrowd
mbf	1	accuracy = # dataset in seacrowd
mbi	3	accuracy = # dataset in seacrowd
mbs	4	accuracy = # dataset in seacrowd
mbt	5	accuracy = # dataset in seacrowd
mdh	1	accuracy = # dataset in seacrowd
mdr	3	accuracy = # dataset in seacrowd
mej	3	accuracy = # dataset in seacrowd
mel	1	accuracy = # dataset in seacrowd
meo	2	accuracy = # dataset in seacrowd
meo	2	accuracy = # dataset in seacrowd
mfa	1	accuracy = # dataset in seacrowd
mfb	1	accuracy = # dataset in seacrowd
mgf	1	accuracy = # dataset in seacrowd
mgk	1	accuracy = # dataset in seacrowd
mgm	4	accuracy = # dataset in seacrowd
mhe	1	accuracy = # dataset in seacrowd
mhs	1	accuracy = # dataset in seacrowd
mhx	5	accuracy = # dataset in seacrowd
mhy	2	accuracy = # dataset in seacrowd
mhz	1	accuracy = # dataset in seacrowd
min	36	accuracy = # dataset in seacrowd
mkm	1	accuracy = # dataset in seacrowd
mkn	6	accuracy = # dataset in seacrowd
mky	1	accuracy = # dataset in seacrowd
mkz	4	accuracy = # dataset in seacrowd
mlf	1	accuracy = # dataset in seacrowd
mlf	1	accuracy = # dataset in seacrowd
mli	1	accuracy = # dataset in seacrowd
mmb	1	accuracy = # dataset in seacrowd
mmn	3	accuracy = # dataset in seacrowd
mnb	3	accuracy = # dataset in seacrowd
mng	1	accuracy = # dataset in seacrowd
mnu	1	accuracy = # dataset in seacrowd
mnw	7	accuracy = # dataset in seacrowd
mnw	7	accuracy = # dataset in seacrowd
mnx	2	accuracy = # dataset in seacrowd
mnz	1	accuracy = # dataset in seacrowd
mog	3	accuracy = # dataset in seacrowd
mok	1	accuracy = # dataset in seacrowd
moo	1	accuracy = # dataset in seacrowd
moq	1	accuracy = # dataset in seacrowd
mpy	1	accuracy = # dataset in seacrowd
mpz	1	accuracy = # dataset in seacrowd
mqf	1	accuracy = # dataset in seacrowd
mqj	7	accuracy = # dataset in seacrowd
mqn	1	accuracy = # dataset in seacrowd
mqo	1	accuracy = # dataset in seacrowd
mqr	1	accuracy = # dataset in seacrowd
mqs	1	accuracy = # dataset in seacrowd
mqt	1	accuracy = # dataset in seacrowd
mqt	1	accuracy = # dataset in seacrowd
mqx	1	accuracy = # dataset in seacrowd
mqy	2	accuracy = # dataset in seacrowd
mra	2	accuracy = # dataset in seacrowd
mra	2	accuracy = # dataset in seacrowd
mrf	1	accuracy = # dataset in seacrowd
mrh	1	accuracy = # dataset in seacrowd
mro	1	accuracy = # dataset in seacrowd
mrw	4	accuracy = # dataset in seacrowd
mrx	1	accuracy = # dataset in seacrowd
mry	3	accuracy = # dataset in seacrowd
mrz	1	accuracy = # dataset in seacrowd
msb	7	accuracy = # dataset in seacrowd
msf	1	accuracy = # dataset in seacrowd
msg	1	accuracy = # dataset in seacrowd
msi	2	accuracy = # dataset in seacrowd
msk	4	accuracy = # dataset in seacrowd
msl	1	accuracy = # dataset in seacrowd
msm	4	accuracy = # dataset in seacrowd
mso	1	accuracy = # dataset in seacrowd
mss	1	accuracy = # dataset in seacrowd
mta	3	accuracy = # dataset in seacrowd
mtd	1	accuracy = # dataset in seacrowd
mtg	2	accuracy = # dataset in seacrowd
mth	1	accuracy = # dataset in seacrowd
mtj	2	accuracy = # dataset in seacrowd
mtq	2	accuracy = # dataset in seacrowd
mui	7	accuracy = # dataset in seacrowd
mvd	1	accuracy = # dataset in seacrowd
mvp	2	accuracy = # dataset in seacrowd
mvs	1	accuracy = # dataset in seacrowd
mvx	1	accuracy = # dataset in seacrowd
mwq	1	accuracy = # dataset in seacrowd
mwt	1	accuracy = # dataset in seacrowd
mwt	1	accuracy = # dataset in seacrowd
mwv	3	accuracy = # dataset in seacrowd
mxd	1	accuracy = # dataset in seacrowd
mxn	1	accuracy = # dataset in seacrowd
mxz	1	accuracy = # dataset in seacrowd
mya	66	accuracy = # dataset in seacrowd
myl	1	accuracy = # dataset in seacrowd
mzq	1	accuracy = # dataset in seacrowd
mzt	1	accuracy = # dataset in seacrowd
naa	1	accuracy = # dataset in seacrowd
nbe	2	accuracy = # dataset in seacrowd
nbn	1	accuracy = # dataset in seacrowd
nbq	3	accuracy = # dataset in seacrowd
ndx	1	accuracy = # dataset in seacrowd
nec	1	accuracy = # dataset in seacrowd
